_id,Mã trạm,Chỉ số AQI,Vị trí,Tên trạm,Url,Chất ô nhiễm chủ đạo,CO,Sương,Độ ẩm,NO2,O3,Áp suất,Bụi PM10,Bụi PM2.5,SO2,Nhiệt độ,Tốc độ gió,Thời gian cập nhật,Múi giờ,Trạng thái cảnh báo,Mức độ cảnh báo
454,1584,-,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,"",6.00,16.00,77.00,1.00,28.00,1018.5,-,-,6.00,20.00,0.20,2021-02-20T20:00:00,+07:00,#NAME?,#NAME?
455,1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,"",2.00,18.00,69.00,4.00,35.00,1017,-,-,4.00,24.00,7.20,2021-02-20T20:00:00,+07:00,#NAME?,#NAME?
456,13017,127.00,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,11.00,11.50,46.50,18.00,-,1016.5,71.00,127.00,-,23.50,2.30,2021-02-20T19:00:00,+07:00,#NAME?,#NAME?
457,13020,113.00,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,9.00,11.50,46.50,15.00,-,1016.5,63.00,113.00,-,23.50,2.30,2021-02-20T19:00:00,+07:00,#NAME?,#NAME?
458,13013,117.00,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,11.00,11.50,46.50,13.00,-,1016.5,64.00,117.00,-,23.50,2.30,2021-02-20T19:00:00,+07:00,#NAME?,#NAME?
459,13014,115.00,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,7.00,11.50,46.50,-,-,1016.5,61.00,115.00,-,23.50,2.30,2021-02-20T19:00:00,+07:00,#NAME?,#NAME?
460,13252,194.00,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,-,15.90,79.20,-,3.00,987.90,177.00,194.00,-,19.60,1.00,2021-02-20T20:00:00,+07:00,#NAME?,#NAME?
461,8767,76.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,18.50,59.00,-,-,1009.5,-,76.00,-,27.00,5.40,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
462,8688,151.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,17.00,64.00,-,-,1012,-,-,-,24.00,3.60,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
463,8641,152.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,17.00,64.00,5.10,7.00,1012,-,152.00,4.10,24.00,3.60,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
464,13012,-,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,"",1.00,11.70,93.60,1.00,37.00,926.50,25.00,31.00,2.00,12.70,2.00,2021-02-19T18:00:00,+07:00,#NAME?,#NAME?
465,12488,55.00,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm10,2.00,18.00,67.00,-,-,1013,55.00,29.00,-,24.50,4.80,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
466,13251,127.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,10.00,16.50,59.00,38.00,2.00,1012,70.00,127.00,1.00,25.00,3.00,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
467,12976,85.00,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,2.00,17.00,64.00,11.00,24.00,1012,63.00,85.00,4.00,24.00,3.60,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
468,13250,175.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,31.00,17.80,55.20,6.00,2.00,998.40,65.00,175.00,85.00,27.60,2.00,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
469,5507,17.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,19.20,85.20,-,36.00,999.40,9.00,17.00,-,21.80,2.00,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
470,11778,4.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5.00,19.20,85.20,7.00,-,999.40,3.00,4.00,21.80,21.80,2.00,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
471,12958,60.00,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,2.00,17.00,64.00,4.00,31.00,1012,50.00,60.00,3.00,24.00,3.60,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
472,12957,75.00,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,4.00,16.50,59.00,7.00,-,1012,50.00,75.00,1.00,25.00,3.00,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
473,13015,153.00,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,48.00,17.00,64.00,53.00,-,1012,78.00,153.00,-,24.00,3.60,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
474,13018,99.00,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,4.00,17.00,64.00,39.00,-,1012,56.00,99.00,-,24.00,3.60,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
475,13019,95.00,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,5.00,17.00,64.00,19.00,-,1012,58.00,95.00,-,24.00,3.60,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
476,13026,104.00,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,3.00,16.50,59.00,20.00,7.00,1012,1.00,104.00,1.00,25.00,3.00,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
477,1584,-,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,"",11.00,17.50,68.50,1.00,26.00,1013,-,-,7.00,23.50,4.30,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
478,1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,"",2.00,18.00,65.00,1.00,37.00,1013,-,-,4.00,25.00,8.70,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
479,13017,138.00,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,6.00,17.00,64.00,9.00,-,1012,73.00,138.00,-,24.00,3.60,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
480,13020,90.00,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,4.00,17.00,64.00,5.00,-,1012,53.00,90.00,-,24.00,3.60,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
481,13013,133.00,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,7.00,17.00,64.00,24.00,-,1012,69.00,133.00,-,24.00,3.60,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
482,13014,99.00,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,6.00,17.00,64.00,-,-,1012,59.00,99.00,-,24.00,3.60,2021-02-22T16:00:00,+07:00,#NAME?,#NAME?
483,13252,119.00,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,-,17.70,50.50,-,5.00,981.50,89.00,119.00,-,29.00,4.00,2021-02-22T17:00:00,+07:00,#NAME?,#NAME?
484,8767,155.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,16.00,38.00,-,-,1007,-,155.00,-,32.00,3.00,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
485,8688,99.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,16.00,60.00,-,-,1012,-,-,-,24.00,1.50,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
486,8641,124.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.20,16.00,60.00,4.60,7.40,1012,-,124.00,3.60,24.00,1.50,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
487,13012,-,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,"",1.00,11.70,93.60,1.00,37.00,926.50,25.00,31.00,2.00,12.70,2.00,2021-02-19T18:00:00,+07:00,#NAME?,#NAME?
488,12488,24.00,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm10,2.00,17.50,61.00,-,-,1013.5,24.00,40.00,-,25.50,3.30,2021-02-23T10:00:00,+07:00,#NAME?,#NAME?
489,13251,113.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,5.00,15.50,58.50,32.00,2.00,1012.5,66.00,113.00,1.00,24.00,1.50,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
490,12976,59.00,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,2.00,16.00,60.00,13.00,23.00,1012,51.00,59.00,4.00,24.00,1.50,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
491,13250,40.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,29.00,19.80,69.90,6.00,2.00,1002,13.00,40.00,78.00,25.70,2.00,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
492,5507,16.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,19.80,73.80,-,46.00,1000.799999999999954525264911353588104248046875,12.00,16.00,-,24.80,1.00,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
493,11778,5.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5.00,19.80,73.80,32.00,-,1000.799999999999954525264911353588104248046875,3.00,5.00,24.80,24.80,1.00,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
494,12958,61.00,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,1.00,16.00,60.00,3.00,7.00,1012,42.00,61.00,3.00,24.00,1.50,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
495,12957,60.00,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,4.00,16.00,60.00,1.00,-,1012,39.00,60.00,1.00,24.00,1.50,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
496,13015,116.00,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,32.00,16.00,60.00,42.00,-,1012,78.00,116.00,-,24.00,1.50,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
497,13018,82.00,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,4.00,16.00,60.00,39.00,-,1012,45.00,82.00,-,24.00,1.50,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
498,13019,83.00,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,4.00,16.00,60.00,21.00,-,1012,54.00,83.00,-,24.00,1.50,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
499,13026,-,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,4.00,15.50,58.50,17.00,4.00,1012.5,1.00,59.00,1.00,24.00,1.50,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
500,1584,-,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,"",6.00,17.50,59.00,1.00,27.00,1012,-,-,6.00,26.00,3.00,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
501,1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,"",1.00,19.00,61.00,1.00,34.00,1010,-,-,4.00,27.00,11.30,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
502,13017,118.00,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,15.00,16.00,60.00,13.00,-,1012,83.00,118.00,-,24.00,1.50,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
503,13020,82.00,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,4.00,16.00,60.00,12.00,-,1012,51.00,82.00,-,24.00,1.50,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
504,13013,117.00,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,9.00,16.00,60.00,11.00,-,1012,78.00,117.00,-,24.00,1.50,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
505,13014,87.00,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,5.00,16.00,60.00,-,-,1012,57.00,87.00,-,24.00,1.50,2021-02-23T14:00:00,+07:00,#NAME?,#NAME?
506,13252,98.00,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,-,16.70,56.90,-,3.00,985.10,86.00,98.00,-,25.90,2.00,2021-02-23T15:00:00,+07:00,#NAME?,#NAME?
507,8767,87.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,20.00,52.00,-,-,1009,-,87.00,-,31.00,2.50,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
508,8688,85.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,16.00,60.00,-,-,1009,-,-,-,24.00,3.60,2021-02-24T14:00:00,+07:00,#NAME?,#NAME?
509,8641,119.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,16.00,60.00,1.00,10.60,1010.5,-,119.00,3.60,24.00,3.80,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
510,13012,52.00,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,4.00,8.00,25.00,12.00,40.00,923.10,38.00,52.00,2.00,30.20,1.00,2021-02-24T14:00:00,+07:00,#NAME?,#NAME?
511,12488,50.00,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm10,3.00,18.00,57.00,-,-,1011.5,50.00,26.00,-,27.00,5.60,2021-02-24T14:00:00,+07:00,#NAME?,#NAME?
512,13251,100.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,10.00,16.00,60.00,30.00,1.00,1010.5,71.00,100.00,1.00,24.00,3.80,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
513,12976,-,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,2.00,16.00,60.00,11.00,25.00,1011,47.00,50.00,4.00,24.00,3.00,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
514,13250,81.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,30.00,20.20,81.30,6.00,3.00,998.10,30.00,81.00,23.00,23.60,2.00,2021-02-24T14:00:00,+07:00,#NAME?,#NAME?
515,5507,16.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,20.40,75.70,-,45.00,998.40,9.00,16.00,-,25.00,2.00,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
516,11778,2.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,4.00,20.40,75.70,3.00,-,998.40,2.00,2.00,25.00,25.00,2.00,2021-02-24T12:00:00,+07:00,#NAME?,#NAME?
517,12958,57.00,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,1.00,16.00,60.00,4.00,5.00,1011,42.00,57.00,4.00,24.00,3.00,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
518,12957,50.00,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,4.00,16.00,60.00,1.00,-,1009,35.00,50.00,1.00,24.00,3.60,2021-02-24T14:00:00,+07:00,#NAME?,#NAME?
519,13015,92.00,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,30.00,16.00,60.00,37.00,-,1010.5,52.00,92.00,-,24.00,3.80,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
520,13018,82.00,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,3.00,16.00,60.00,39.00,-,1010.5,47.00,82.00,-,24.00,3.80,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
521,13019,75.00,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,4.00,16.00,60.00,21.00,-,1010.5,52.00,75.00,-,24.00,3.80,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
522,13026,95.00,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,9.00,16.00,60.50,27.00,1.00,1011,1.00,95.00,1.00,24.00,1.80,2021-02-23T18:00:00,+07:00,#NAME?,#NAME?
523,1584,-,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,"",2.00,17.00,51.00,1.00,32.00,1012,-,-,7.00,28.00,3.60,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
524,1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,"",1.00,19.00,58.00,1.00,33.00,1011,-,-,4.00,28.00,7.70,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
525,13017,102.00,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,6.00,16.00,60.00,10.00,-,1009,60.00,102.00,-,24.00,3.60,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
526,13020,86.00,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,4.00,16.00,60.00,9.00,-,1010.5,52.00,86.00,-,24.00,3.80,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
527,13013,113.00,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,4.00,16.00,60.00,23.00,-,1009,63.00,113.00,-,24.00,3.60,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
528,13014,94.00,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,5.00,16.00,60.00,-,-,1010.5,55.00,94.00,-,24.00,3.80,2021-02-24T13:00:00,+07:00,#NAME?,#NAME?
529,13252,122.00,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,17.50,82.40,-,3.00,982.60,122.00,113.00,-,20.60,2.00,2021-02-24T14:00:00,+07:00,#NAME?,#NAME?
530,8767,104.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,22.00,55.00,-,-,1005,-,104.00,-,32.00,2.50,2021-02-27T15:00:00,+07:00,#NAME?,#NAME?
531,8688,104.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,14.00,72.00,-,-,1013,-,-,-,19.00,5.10,2021-02-27T15:00:00,+07:00,#NAME?,#NAME?
532,8641,93.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.20,14.00,77.00,1.40,2.10,1011,-,93.00,3.60,18.00,5.60,2021-02-27T15:00:00,+07:00,#NAME?,#NAME?
533,13012,97.00,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,6.00,16.60,43.70,21.00,34.00,921.90,57.00,97.00,2.00,30.30,2.00,2021-02-27T15:00:00,+07:00,#NAME?,#NAME?
534,12488,59.00,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm10,2.00,22.00,76.00,-,-,1008.5,59.00,48.00,-,26.50,2.80,2021-02-27T16:00:00,+07:00,#NAME?,#NAME?
535,13251,1.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12.00,19.00,73.00,50.00,1.00,1008,1.00,1.00,1.00,24.00,3.60,2021-02-26T15:00:00,+07:00,#NAME?,#NAME?
536,12976,44.00,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,3.00,14.00,72.00,14.00,25.00,1013,27.00,44.00,3.00,19.00,5.10,2021-02-27T15:00:00,+07:00,#NAME?,#NAME?
537,13250,7.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm10,43.00,19.40,76.40,-,2.00,998.00,7.00,31.00,100.00,23.80,4.00,2021-02-27T11:00:00,+07:00,#NAME?,#NAME?
538,5507,26.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,18.90,95.70,-,10.00,998.50,14.00,26.00,-,19.60,1.00,2021-02-27T15:00:00,+07:00,#NAME?,#NAME?
539,11778,3.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,6.00,18.90,95.70,12.00,-,998.50,2.00,3.00,4.00,19.60,1.00,2021-02-27T14:00:00,+07:00,#NAME?,#NAME?
540,12958,70.00,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,3.00,14.00,72.00,4.00,3.00,1013,52.00,70.00,4.00,19.00,5.10,2021-02-27T15:00:00,+07:00,#NAME?,#NAME?
541,12957,60.00,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,4.00,14.00,72.00,5.00,-,1013,40.00,60.00,2.00,19.00,5.10,2021-02-27T15:00:00,+07:00,#NAME?,#NAME?
